,comment
8074,"00:19 쏘주가 혈관을 타고 콸콸콰알️!
02:17 눈 땡글해지는거 넘 귀엽잖아요ㅠㅠㅠㅠㅠ 햄스터같아..."
8075,3:15 여기서부터 킬링파트.. ㅠㅠㅠㅠㅠㅠㅠㅠ 살려주세요 진짜 너무 귀엽잖아요..
8076,마지막에 나.. 돈 마나~!~!~!~!~!!~!!!!~! 이거 진짜 귀엽다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8077,차현 우주최고 귀여움
8078,2:48 앙탈부리고 쪼꼬미!!!!!하는 차현 ㅈㄴ 귀엽다ㅜㅜㅜㅜㅜㅜㅜ
8079,진짜 둘 다 왜케 귀여워ㅠㅠㅠ미처ㅠㅠㅠㅠㅠ
8080,차현 마지막에 너무 귀여워요~
8081,"둘이 진짜 케미터진다ㅠㅋㅋㄱㅋ
콸콸콸!부분 메이킹보고싶..."
8082,진짜개귀여워ㅠ 케미미쳤냐고
8083,근데 배타미 작은키 아닌거 맞음..167이면 큰편인데 차현이....ㅠㅠㅠㅠㅠㅠㅠ설레요ㅠㅠㅠ
8084,이다희배우님 애교 미쳤어요........와 너무 귀여우시잖아여...........................
8085,"언니,,,,,할때 심장 우르르 쾅쾅쾅ㅠㅠㅠㅠㅠ"
8086,진짜 너무너무귀엽다 어떡해ㅠㅠㅠ
8087,"그냥..여기 나오는 여주들이 진짜 다 걸크에 매력넘침!! 이 장면은 차현입덕영상입니다..크크크크크
정말 몇번을 봐도 내 심장이 녹는다녹아ㅜㅜㅜ"
8088,주기적으로 보는 클립이지만 귀여워서 죽을 것 같아 ㅠㅠ
8089,차현 타미 가경 셋이 서로 엮어놔도 달달하다ㅋㅋㅋㅋㅋ
8090,고양이 같은 외모에 강아지 같은 성격은 매력 터질수밖에 없음
8091,이 장면 레알 내가 본 모든 영상중에 최고임 넘 귀엽고 넘 완벽해....
8092,03:33 내가 차현 보는 표정...빠져드는 기분이야...황당하면서도....ㅋㅋㅋㅋㅋ
8093,이다희 미모 무엇 와...
8094,심장 떨린다 미친 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ귀여ㅑ워어ㅓ
8095,근데 임수정 눈 동그랗게 뜨니깐 졸귀긴하다...
8096,"2:59 임수정은 작은 키가 아니었다ㅠㅠㅠ167이 어딜봐서 작은 키ㅠㅠㅠㅠㅠ 여기 여주들 키 다 크더라...전혜진 170 이다희 176




+ 옛날 미사시절에 167로 표기 됐고 나무위키에도 167 표기 되어 있길래 167인줄 알았습니다 임수정 실제 키는 164가 맞는 거 같습니다"
8097,와이씨... 언니가 이렇게 설레는 호칭이였냐... ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
8098,"둘  케미  완죤 쩔어
존나  귀엽고  사랑스러움~♡"
8099,헤테로 커플보다 주연끼리 엮이는게 더 재밌다 차현타미가경 최고최고
8100,이다희언니 너무 이뻐여ㅜㅜㅜ 연기 짱 잘해여 사랑해요ㅜㅜ
8101,키는 진짜 큰데 목소리 진짜 애기목소리인데요..? 넘넘 커엽
8102,이드라마의  유일한  흠은  쓰잘데기없는 음악감독과의 로맨스다
8103,아 진짜 왜 넷플릭스 이 드라마 안 들여오냐고...색감이며 드라마 분위기며.. 진짜 최곤데...
8104,진짜ㅠㅠㅠ 개귀여ㅓ워서 땀이 다 나네 휴^0^
8105,아니 다희언니 미쳤나봐 뭔데 모든클립 존나 귀여워 미친파친솔친오엠지
8106,2:17 웃는거 너무 귀여워
8107,와 이거 설레면 이상한건가요??  둘다 넘  좋다 ㅠㅠㅠㅠㅠㅠㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8108,제발 검블유 넷플릭스에 나오게 해주세요 제발 저의 작지만 큰 소망입니다 제발요ㅠㅠ 
8109,난 이게 레전드라 생각함 진짜 ㅠㅜㅠㅠㅠㅠ 광광 매력 터져ㅠㅠㅜㅠ
8110,하 진짜 언니 얼굴 너무 어메이징....... 주기적으로 생각나서 보러 옵니다
8111,아 미친...진짜 너무 설레잖아..하... 어쩌자고 이래...끄아아아ㅏ악 다희님 진짜 사랑해요 ㅠㅠㅠㅠㅠㅠ
8112,고양이처럼 생긴얼굴로 강아지처럼 굴고 강아지처럼 생긴얼굴로 고양이처럼 굴어ㅠㅠ최고의 조합이다
8113,미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이다희 너무좋아ㅠㅠㅠ
8114,"""손만 잡고 잘게요오..눼..온늬..??""졸귀ㅜㅜ"
8115,차현️배타미 ㅠㅠㅠ 너무좋아 졸귀탱
8116,쪼꼬미ㅋㅋㅋㅋ왕귀여워 배타미
8117,캐릭터 다 찰떡 ....와...그냥 미쳤어ㅠㅠㅠㅠㅠㅠ
8118,아악ㄱ 개설레미친 맨날 술마셔줘 둘이 살아줘 차현배타미ㅜㅠㅠㅠㅠㅠ
8119,2:23 다!다!다! 이러는거 짱귀여워 ㅠㅠ
8120,요새 여자를 중심으로 한 드라마가 많아져서 좋아요! 어릴 때부터 남성중심을 바탕으로 그려진 드라마가 많았는데 점점 바뀌네요~!! ㅎㅎ
8121,다희언니 너무 예쁘고 너무귀여워요 앙탈부리는거
8122,검블유 제 최애 장면... 흑ㄹ륽긓끄 사랑합니다
8123,백합러들아 우린 원래 착즙의 민족이잖아 가능해가능해
8124,차현 캐릭터 너무 매력적이예요ㅠㅠ 이다희라서 더 잘 어울리고ㅠㅠㅜㅠ
8125,눈물을 멈출 수가 없읍니다
8126,나진짜죽어....이다희당신....겁나귀여워....겁나.......
8127,"유튜브 돌아댕기다가 이게 뭐야? 뭐지? 뭔데? ㅅㅂ 내가 한국 드라마에서 이런 찐을 보게 될 줄이야, 겁나 감격이다 ㅠㅠㅜ"
8128,"실은 워맨스가 검블유의 중심이죠
한국에서 이런식으로만 은근한 여여로맨스 표현할수있는게 좀 아타까워
ㅋㅋㅋ
그래도 TvN에게 고마워야겠다"
8129,아 개로맨틱한데 3:42 배타미 표정 어쩔거얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 얘네 된다 돼
8130,"진짜 1일1시청..이다희님 너무 귀여워 ㅜㅠㅜㅠ

킬포
1:03 발 질질 끌고
1:22 배타미..여기 어디야~?
2:20 다다다
2:40 앙탈&우어어아아아앙 쪼꼬미!!
3:16 언니... 같이 자요.. 손만 잡고 잘게요 네..?"
8131,1:07 힐 2개 널브러져 있는 거 너무 커플 모멘트.....  밖에서 하고 싶은데 간신히 참다가 헐레벌떡 집으로 들어온 커플 아닙니까?
8132,아 이다희 존나 기여워ㅠㅠㅠㅠㅠㅠ 지구 뿌셔 으어어어어엉ㅇㅠㅠㅠㅠ 기야오ㅜㅜㅜㅜㅜㅜㅜ
8133,너무 귀엽잖아ㅏㅏㅏㅏㅏㅏ
8134,"This story about my homepage and cha hyun really breaks my heart   

I cried really hard"
8135,"당신들 얼른 시즌2찍어죠 제발 ㅠ , ㅠ 잉잉!!!!!!개사랑해 !!"
8136,마지막에 나 돈 마나~!~!! 이거진짜너무넘 기엽다 왜지 너무기엽다
8137,04:57 배타미 엄마 모먼트ㅋㅋㅋㅋ
8138,쪼꼬미 ㅋㅋㄹㄹㅋㄹㅋㄹㅋㅋ 아 귀여우ㅓㅜㅜㅠㅠㅠㅠㅠㅠㅠ
8139,이다희 진짜 너어어어어어무 예뻐 아진짜ㅜㅜㅜㅜㅜㅜ
8140,아 너무 귀엽다 귀여운 여자 짱 ㅠㅜ
8141,자막 넣은 사람도 인정하는 커플
8142,자막 너모 찰지자너 ㅌㅋㅋㅋㅋ 이 조합.. 최고다
8143,아오 너무 귀엽다ㅠㅠㅠㅠㅠㅠㅠ댕댕
8144,드디어 넷플릭스에 ㅠㅠㅠㅠㅠ 최고
8145,연기진짜잘함...ㅎ
8146,누워있긴 나랑 누워있으면 서 딴여자가 얘기가 나와.............개씹명대사킬포
8147,작가님 한번 더 기회를 드릴게요... 넷플릭스로 갑시다...
8148,아닠ㅋㅋㅋ 토하려는거 소리 너무 리얼한데ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8149,둘다 미쳤구나 사랑스럽다 진짜로
8150,손만 잡고 잔다는게 이렇게 설레는 일인가요..?
8151,2:47 3:17 차현이 너무귀여웡~@~
8152,"마지막 뭔데 ㅋㅋㅋㅋㅋㅋㅋㅋ 나 돈 마낙!!!!
이게 젤 맘에 드는 듯ㅋㅋㅋ"
8153,시즌 투 내놔요.. 제발!!!
8154,둘이 왜 아닌데 이렇게 케미가 넘치는데 왜!!!
8155,역시 매력덩어리...다희언니...주연이 아니어도 빛나더니...여기서도 빛나네용~~~
8156,여자들끼리 이렇게 몽글몽글한 관계를 만들어놓고 결론은 해태로라는게 진짜 악랄한거같음
8157,미리 심장 부여잡고 봅니다
8158,아닝 표정 먼데여♡♡ 씹덕귀♡
8159,그냥 둘다 사랑️
8160,0:20 하씨 콸콸콸 하고 웃는데 왜이리 귀엽냐 진짜 미치겠다ㅠㅠ
8161,5:13 개귀여웤ㅋㅋㅋㅌㅌ
8162,차현타미 최고ㅠㅜㅜㅠ
8163,미친닼ㅋㅋㄱㅋㄱㄱ귀엽다 둘다
8164,이 정도면 레즈 마음 흔드는 여자들의 리얼 로맨스... 사랑해요 언니들
8165,귀여운 두사람 ㅠㅠㅠ쿄쿄 사랑스럽️️
8166,배타미 ㅋㅋㅋㅋㅋㅋ 완전 넘어갔는데요 ㅋㅋㅋㅋㅋㅋㅋ
8167,흔하디흔한 클리셰를 여여컾에 적용하니 심장떨리네요 아이죠아
8168,"왜 이름이 차현이야
이름부터 찰떡에 너무 이뻐"
8169,몇번을 돌려보는지 모르겠네
8170,나 이영상 너무 좋아 ㅠㅠㅠㅠ 차현 너무 귀여워 ㅠㅠ
8171,티비엔 솔직히 우리랑 같은 마음이잖아요.
8172,역시 런닝맨에서 너 진짜 얌생이구나 할때부터 알아봤어 언니최고ㅜㅜㅜㅜㅜㅜ
8173,시즌2 해줘요~~~~~부탁합니다
8174,3:12 내가 이 장면만 몇 번 본 건지... 오늘 하루 일 때문에 우울했는데 위로 받았다...
8175,2:22 따다다 하는 언니가 더 귀여워 겁나 귀여워ㅜㅜㅜ
8176,이다희너무귀여운거아님ㅋㅋㅋㅋㅋㅋ
8177,"여자끼리 의리 우정 멋있네
 애교스럽게 능청스럽게
  잘하네"
8178,Cutest chayeon 
8179,이건 한국이라서 남자가 낀거야 배타미×차현×송가경 삼각관계에 낀거지 근데 그거 나름대로 좋았어 다른드라마와 다르게 서브남주 없이 세명다 따로 이어져서 맘아플일 없어서 좋았음
8180,이 언니 귀여워서 아파트도 뽑고 다 부셨는데 망태기 어딨지??? 8ㅠ8
8181,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이다희심각하게존예다
8182,"생각날때마다 보는데 볼 때마다 흐뭇하다,,후후"
8183,2:56 말티즈는 참지않긔.....
8184,현이 일어날 때 뭔가 선미 같닼ㅋㅋㅋㅋㅋㅋㅋ
8185,이다희씨 미모 미쳤네요 언니라면 내 인생 아깝지 않아
8186,아무리 봐도 두여인네 캐미가 진심 장난이 아니네......ㅎㅎ 이다희가 저리 이뻤나 싶고 임수정이야 말할것도 없고.....ㅎㅎㅎ
8187,검블유보고 이다희한테 입덕했잖아..
8188,2:47 겁나 귀여워ㅠㅠㅠㅠㅠ
8189,차현️타미 영상 감사합니다 앞으로도 많이 풀어주세요 관리자님️
8190,"3:11 (벌떡)(미모)
3:18 1차 언니
3:25 손만 잡고 잘게요
3:29 (애교)네?
3:31 2차 언니
4:17 3차 언니

뜯어 볼게 너무 많네요.. 차현이 세상 언니들 다 홀린다"
8191,성차별 이라고 할수 있겠지만 난 동성애자 좋아하면서 반대하지도 않는다. 특히 레즈(GL) 솔직히 게이는 아직까지는 거부감 들지만 레즈는 많은 사람들이 설렌다.
8192,어제 mama 시상식 보고 왔어요 다시 봐도 레전드다 탐차..
8193,진짜 이 둘 사귀게 해줘 광광
8194,하... 미친 ㅠㅠㅠ 미쳤다곡!!!!! 사랑해요 
8195,말티즈와 메인쿤(차현을 표현할만한 멍멍이가 없어ㅠ 근데 메인쿤이 성격이 멍멍이같데 ㅎ)의 티키타카 같다 ㅎㅎ 귀여워>ㅅ<
8196,2:22 다다다 여기 꽂힌 분 없나요? 차현 다다다 귀여운데
8197,편집자가 백합에 너무 진심인것에 대하여
8198,우리 할머니도 둘이 뭐 있냐고 물어보셨다... 넷플 가서 진짜 사귀어야 하는 거 아니니...ㅋㅋㅋㅋㅋㅋ
8199,ㅇㄴ 언니래ㅠㅠㅠㅠㅠㅠㅠㅠㅠ손만 잡고 잔데ㅠㅠㅠㅠ기여워유ㅠㅠㅠㅠㅠ
8200,하 감사합니다 이런 클리셰 너무 조아요 흑흑
8201,이다희 소고기에 와인만 먹을거처럼 보이는데 소주마시니까 뭔가 되게 많이 친근하다
8202,이 분이 곧 한국판 어벤져스의 닉퓨리 포지션 역할을 맡아 연기 할 예정임
8203,검블유2 제발요
8204,이런면도 있다니 매력넘친다
8205,언니.. 라고할때 앞니돌출과 갯수까지 완벽한 인생연기다...
8206,"누가 이 드라마 완전 헤테로로 눈속임한 레즈드라마 수준 이라고,,,, 그냥 둘이 이어줘라,,,,,!"
8207,아 존나 설렌다 넘 좋다 ;;;;;;
8208,2:56 우응. 넘 귀여워 ㅠㅠㅠㅠ
8209,차현 완전 플러팅 장인이야....... 특히 3:16 ....ㅠ
8210,"1:58
2:23
2:47
5:03
와아 다희 언니 매력 어쩔거야 ㅠㅠㄷㄷ....ㅠㅠㅠㅠ
사랑행요 ️️️️️️ㅠㅠㅠㅠㅠ"
8211,2:23 이다희 배우님 목소리ㅠㅠ
8212,언니 같이 자요.. 손만 잡고 잘게요  이부분 너무 좋아....
8213,4:53 안나와...안나와 너무 귀엽자나ㅠㅠ
8214,진짜 검블유 차현중에서 이때 차현이 개인적으로 제일 내스타일ㅠ 너무이뻐 미쳤어  립스틱 모쓰셨는지 너무궁금하구ㅠ
8215,소주가 혈관을 타고 콸콸콸!!!약간 노래같음ㅋㅋㅋㅋㅋㅋ
8216,와 존나 설ㄹ레요 언니 사랑해 죽어도 좋아
8217,"2:01 편집자님 자막 찐광기신데..
이 정도면 우리 중 한명인거 아닐까 얘들아"
8218,하 ㅠㅠㅠㅠ 다희언니 사랑해요
8219,언니는 여전히 돈이 많네요 ....... 겁나 사랑스러워ㅠㅠ
8220,진짜 일하고온 남편끌고온 아내같잖아요 아진짜 어?같이자자고?? 쪼꼬미????????ㅋㅋㅋㅋㅋ아ㅏ진짜 완전 레즈맛집아녘ㅋㅋㅋㅋㅋㅋㅋㅋ앜ㅋㅋㅋ
8221,막 다다다 할때래 ㅋㅋㅋㅋㅋ 귀여워 ㅋㅋㅋㅋㅋ
8222,3:18 3:21 3:24 아니 언니....레쥬심장 그렇게 가격해버리면..제 심장이 남아나질않자나요오ㅜㅜㅜㅜㅜ
8223,존나 설레네... 요즘 남녀 로맨스 같은 거 진부하고 노잼이라 티비 안 보는데 또 봐야겠네 근데 또 남주 따로 있다면서요 ㅋㅋ 이런 ㅆ..
8224,"와...이다희 언제 키 더 커졌냐ㅋㅋㅋ너목들때만 해도 자기 입으로 키 172라고 했는데ㅋㅋㅋ
역시 172아닌거 알고 있었어 일부로 줄였겠지ㅋㅋㅋ 176이라니 동질감 느껴지고 넘 멋있다 그냥 여신 그자체.."
8225,제가 이 장면을 위해 이틀만에 12화까지 정주행했나봅니다
8226,제발 넷플에 해주세요ㅠㅠㅠ
8227,"'언니' 라는 단어는 누구보다 여자에 처돌은 레즈의 가슴을 뛰게한다 ...

근데 진짜 구라 아니고 누워있긴 나랑 누워있으면서 딴 여자 얘기가 나오냐고 할 때 너무 미친거에요 그 둘 사이의 공기와 둘의 꽃보다 예쁜 얼굴과 레즈가 아닌 사람까지 레즈로 만드는 저 대사가 나오는데 눈물이 났죠 오열했어요"
8228,1:49 는 백설공주 같았는데 3:11 에선 보아핸콕이 보이네 언니 얼굴 어메이징
8229,다희언니가 여ㄱㅣ어디이야아 할때 치여서 100099099992929번 돌려봄
8230,아..너무좋다ㅠ.ㅠ
8231,진짜 저정도면 술먹은거같은데 저게 연기라니 말도 안돼 진짜 술주정이 저러면 너무 사랑스럽겠다..
8232,미쳣나봐.. 나진짜.. 나진짜.. 언니들 멜로 하나 찍어줘
8233,하하핳 너 ㅋㅋ 그옷 막막 다다다다할때 겁나귀여워 하하하하ㅋㅋㅋ졸라웃기다 ㅋㅋㅋ
8234,2:22 3:25 4:53 차현 킬링 포인트
8235,둘이 응원해 ㅜㅜㅜ
8236,쪼꼬미ㅠㅜㅠㅠㅋㅋㅋㅋㅋㅋㅋ
8237,"10덕 포인뚜
0:19 콸콸콸
2:20 따다다
2:48 쪼꼬미"
8238,"나 머 뿌셔써?. 하는데 나혼자 
언니 제 심장 뿌시셧어요ㅠㅠㅠ 하면서 주접싸는중"
8239,"그냥 검블유는 여여케미를 위한것.
각 주인공들에게 남자 파트너가 있는건 작가님이 원래 원하시던대로 이야기를 팬들이 2차 가공해서 팬뮤비로 만들라고, 그 영상을 위한 소재일뿐 ㅎㅅㅎ"
8240,이다희 진짜 백설공주 같다
8241,2:48 귀여워ㅠㅠㅜㅜㅠㅠㅠ 쪼꼬미!!!
8242,내 인생드라마
8243,두우-배로 갚아줄게!!!!! 이거 귀엽자노ㅠㅠㅠㅜㅠㅋㅋㅋ큐
8244,이게 그 없던것도 스게만드는 명장면인가
8245,어쩜 썸네일까지 검블유 감성...
8246,귀...귀여워ㅠㅠㅠㅠㅠ
8247,마마 뭔데요 ...시즌2해주시는걸로 알겠습니다 감사합니당
8248,5:02 네 언니 제 심장이오....
8249,01:23 여기서부터 진짜 핵꿀귀다ㅠㅜ
8250,2:11 이거 ㅠㅠㅠㅠㅠㅠㅠㅠ걱정해주는 말ㅠㅠㅠㅠㅠㅠ너무 설렌다
8251,"2:49
쪼꼬미 ㅋㅋㅋㅋㅋㅋ"
8252,헐...언니..다희언니..ㅠㅠ 너무이뻐요ㅠㅠ 진짜 너무너무이뻐요 어떻게 사람이 저렇게 섹시하다가 카리스마있다가 귀엽다가 아주 이쁜건 다해 진짜!!
8253,겁니 귀엽네
8254,"2:49 ""쪼꼬미!!!!!"" 
이 말이 왜이리 설레게 들리지?"
8255,체고야 귀여움과 멋있음이 공존해 사랑해 내여왕..
8256,작가님 솔직히 말해보세여...여x여 커플 너무 달달해서 위에서 제지한거죠....? 그렇다고해요...저렇게 사랑스러운데ㅠㅜㅜㅜ
8257,2:15 찐텐 같은뎈ㅋㅋㅋㅋㅋㅋㅋ진짜 귀여워 하는 중인듯..
8258,3:16 존댓말에 언니라니ㅜㅜ 제가 다 설레네요
8259,유교사상인 한국에서 편견이 지켜준 커플 2번째
8260,귀여워 차현... 귀여워 배다희.... 배다희 많이 보고싶어....
8261,진짜 .. 남자 파트너들은 위장연애 아니냐구요 ........ 대사 개짱 .......
8262,02:23 조졋다 다다다 십 개귀엽누 ㅠㅠㅠ
8263,3:48 미친 언니ㅠㅠㅠㅠㅠ 공주 같다 진짜..........
8264,3:12멜로 눈빛... 목소리... 완벽해..제발 사겨줘
8265,우다언  이거 이제서야 본거 너무 후회된다 ㅋ큐ㅜ
8266,제발 사겨..제발 사귀라고.. 제발 사귀라고 사귀라고 제발 !!!!!!!!!!!
8267,하.. 나 남자 좋아하는데 차현한테 너무 설렌다
8268,"하...난 이 드라마 여자 셋이서 서로 존나 선전선동으로 정치질하면서 어제의 적이 오늘의 친구! 여기 붙어먹었다가 저기 붙었다가 결국 한명이 승리하는 그런 드라마인줄 알고 
기대했었는데 로맨스가 너무 큰 지분을 잡아먹었어."
8269,아 행복해...하...귀여워...최고...
8270,2:55 타미 발끈하는거 왜이리 웃기지 ㅋㅋㅋ
8271,진짜 진상of진상이닼ㅋㅋㅋㅋㅋㅋㅋㅋ 차현댕댕이니까 봐준거지 아녔음 끌고오다 버렸어..
8272,작가님 제발 스핀오프처럼 차현타미가경 삼각관계 넣어주세요ㅠㅠ
8273,언니...하는데 겁나 아련해졐ㅋㅋㅋㅋ
8274,뭔데...이거 설레....
8275,나는 차현이 저걸 다 마시고 응급실에 안 간게 더 신기해....저게 인간이 마실 양이냐구.......
8276,"왜 넷플릭스엔 없나요..?
제가 다 끝나고 빠져버려서ㅜㅜㅜ
죄송합니다ㅜㅜㅜ 제발 넷플릭스에 올려주십시오"
8277,여자끼리 케미를 보여주는 게 재밌고 멋있는 커리어우먼들이 남자랑 있을 땐 다른 사람이 되고 또 케미 안에 남자문제로 인한 에피소드도 많았는데 굳이 레즈물로 .. 너무 몰아가는거 아닌지
8278,검블유 1주년인데 라이브 해주면 안 될까요 tvN..? 떡밥이라도 주면 안 돼..?
8279,얘들아 이건 백합이야 나를 믿어....
8280,언니...이런 분이 전치12주 전과범이라니 ㅋㅋㅋ
8281,아 진짜 몇번을 보는거임
8282,"현: 나 뭐 부쉈어....?
타미 마음...전국 여성애자 마음... 부셔버렸잖아....."
8283,나 처음에 쪼꼬미가 아니라 쭈꾸미인줄 ㅋㅋㅋㅋ
8284,하..잘려고 봤는데 설레서 잠을 못자겠네..ㅜ내 꿈속에 넣어두고 자고싶다 ㅎㅎㅎㅎ
8285,아...여기구나...백합물 맛집이...최고다...♡
8286,배타미 로맨스 나왔을 때 항마력이 없어서 스킵했는데... 워워~ 워맨스가 오지구만~
8287,소주가 혈관을 타고 콸/콸/콸/ ㅋㅋㅋㅋ
8288,이거.. 넷플릭스에서 레즈로 한번 가시죠... 동성애 좋아하는 편은 아닌데 이거 너무 찰떡 아닌가 진짜...
8289,언니들 ... 오진다
8290,2:37 레즈 심장 흔드는데 고수시네요 이 언니
8291,검블유나 보면서 출근하던 때가 행복했쪄염 이래야되는데... 참 ㅎㅎ
8292,02:22 미쳤는데.. 다다다 그래 다다다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
8293,둘이 퀴어물 하나만 찍어줘 진짜 부탁이야 내가 이런 사람이 아닌데 뭐야 왜 잘 어울리고 난리야
8294,갸아아아아아아아아앙아앙아앙ㅇ아앍 이거다 이거야 이거라고오오오오오 세상에 마상에 이 조합 뭐죠 이 드라마 뭐지? 미쳤다 미쳤어 이거 볼래 이거 봐야겠다 세상에
8295,작가님이 있기엔 우리나라 그릇이 너무 작습니다.. 세계로 나가주세요... 아니면 영화계로 나가주세요..
8296,검블유야 말로 자매애의 결정체
8297,이다희 .. 너린여자 .. 완벽해
8298,"투자받으려고 마지못해 
이성애 추가했다는 게 학계의 정설"
8299,아몰라 너무너무너무너무 좋아
8300,개좋아 . . . .
8301,이다희 개귀여워 그리고 조나예뻐 뭐야 다해  그리고 립 뭘까 영상에 이다희립 아시는분 댓좀남겨주세요
8302,3:17 이정도면 같이 자야된다...
8303,2:46 이거 언니한테 똑같이 했다가 쳐맞았어욬ㅋㅋㅋㅋ
8304,지금봐도 아니 지금 나와도 개꿀각인데..
8305,"이걸 본방으로 본 날 결심했다,,, 차현의 제 9748192839102번째 부인이 되기로,,,"
8306,검블유 너무 아쉽다... 색감 분위기 신선함 전부 좋았는데 하필 타이밍 좆망이라 페미다 뭐다 욕먹는데 트페미들 없어지고 정권 바뀌어서 여성 우월주의 사상 없어지면 이런 드라마 다시 나와서 대박 쳤으면 좋겠다 물론 표절은 없이 ㅋㅋㅋㅋㅋㅋ
8307,어우 뭐야.......좋다...
8308,근데 왜 면도기 엎어진 거 저렇게 대놓고 보여주지ㅠㅠㅠ 안돼ㅠㅠㅠ
8309,저렇게 귀엽고 이쁘고 다하면서 같이 자자고하면 나눈 진짜 백날천날 365일 다 잘 수 있어 토해도 돼 토해도 다 받아줄게(?) 진짜 사랑해 개사랑해
8310,이 조합 손만잡고잘게 라면먹고갈래~♡
8311,tvn 저번에 올렸던 검블유 다시보기 왜 삭제했어요!!! 나 진짜 하루만에 11화 봐서 이틀안에 볼 수 있었는데ㅜㅜ 다시 돌려놔ㅠㅡㅠ
8312,너무흐 조아용
8313,취하기 위해선 내 혈관에 피를 소주로 채워야한다
8314,3:15  이건 진짜 노렸다.
8315,니가 더 귀여워ㅠㅠㅠ️
8316,....? 아 자존심 상해 뭔데 나보다 자막으로 주접을 저리 잘 떨어요...? 편집자님 솔직히 말씀해보세여 검블유말고 또 어디 덕질해요? 저런 멘트 거의 고인뭉인데 어디에요? 나도 배워보자
8317,차현한테 반해서 이성애자 될 뻔...
8318,다음엔 꼭 여성 퀴어 작품으로 모셔주세요..ㅠㅠ큐ㅜ 한국이라서 못다한거 다알아요.. 19금 아니 29금 절정의 로맨스 여성퀴어작품 원해요ㅠㅠ이언니들덕분에 성정체성 혼란이올것같지만 너무좋아요
8319,배타미 167.. 차현176...
8320,"내가  다~  물으즈께~~ 두배로 믈으쯔께~~
나!!! 돈~~~~~마!나!...c 
나도 농담으로라도 써보고 싶은 대사야...개부럽"
8321,"2:56 ""웅"" 너무 귀여워 미쳤어"
8322,드디어 눕는다 잘있어라 얘들아
8323,작가님과 차현씨를 헐리우드로~ㅎ
8324,콸콸콸~~~~ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8325,콸콸콸 보러 주기적으로 옵니다
8326,So cute
8327,다희님 턱선에 베이겠어
8328,차현 존예다.
8329,"후,.실습끝나고 정주행 각이다 이러다 이다희나오는거 다 보겟네"
8330,5:03...네 언니.. 제 마음을 부신거 같은데요..?
8331,12병...... 저건 아무리 드라마여도 좀ㅋㅋㅋㅋ
8332,촬영할 땐 맨정신 이었을 거 아냐.... 나 죽어
8333,제발 둘이 사겨
8334,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 두우우우배로 물어줄게!!
8335,좋아요 왜 한번밖에 못누름?ㅠㅠㅠㅠ 천번만번 누르고 싶음
8336,섹시하면서 귀여운게 이런건가..
8337,이다희 왜이렇게 예뻐ㅠㅠㅠㅜ시파아 가지고싶댜
8338,미친거야 이거보고 검블유 정주행함
8339,어우 미드였으면 벌써 다 했다ㅠ
8340,ㅋㅋㅋ 둘이 사귀는 줄^^
8341,진짜 연애장면 필요 없었고 의미도 없고.. 특히 타미 연애장면은 정말 마이너스 요소..
8342,"예쁘면  귀엽지나 말거나
귀여우면 예쁘지나 말지
왜 둘다 가져서 내 맘을 흔드나 이사랑아"
8343,4:02 누워있긴 나랑 누워있으면서 딴 여자 얘기가 나와?
8344,말 다다다 하는 거 귀여우면 뽀뽀 좀 해주지ㅠㅜㅠ 뽀뽀 하고... 잠도 자고.......ㅎㅎ
8345,언니들 때문에 나 심장떨려 진짜 왜 레즈를 레즈라고 말 못해 레즈로맨스라고 왜 말을 못해~
8346,이걸 보곤 아 나는 남자를 좀더 좋아하는 양성애자구나를 느낍니다
8347,개설렌다......ㅜ 넷플에 풀어줘...
8348,주기적으로 봐줘야해
8349,둘이 뽀뽀해줘 제발 ㅜ ㅠ ㅠ
8350,이다희랑 있으면 왜 다 쪼꼬미가 되지 ㅋㅋㅋㅋ 서현진도 그렇구 임수정도 그렇고 둘다 167인데 작아보여 ㅋㅋㅋㅋㅋ
8351,아니 이거 공식채널 맞아? 자막 주접 상태가ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8352,아오 둘이 딱 사내연애해야하는데
8353,영앤리치 언니들끼리 저러는거 흔치않거든요ㅠㅠ
8354,같이 자다못해 저랑 같이 살아요 차현언니ㅠㅠㅠㅠ 뭐든 다 해줄수있어!!!!!!
8355,5:03 응 부쉈어 ... 내 심장을 부쉈어 .......
8356,나 여잠대 ㄹㅇ 성정체성 혼란온다.. 언니할때 존나 심쿵했는데 어떡하지..?
8357,검블유는 시청률 낮았던거 이해 증말 안됨
8358,3:17 이다희 숙취 메이크업 빨리 국보에 올려라 그리고 유네스코 등제해서 지키도록하라
8359,3:15 omgthat face so fdfasdkaskd012 cute!! :3
