,comment
75,"장난어린 말툰데 그 속에 진심이 담겨있고, 또 상대방 기분 상할 말은 하지 않으면서 직진으로 마음 고백하고 그러는데 설레지 않을 사람이 어딨어...ㅠㅜㅜ
장난기 때문에 경계를 잊어버리게 되는데 또 배타미가 도움이 필요할 때마다 나타나고 이 완벽한 연하남이었다..모건.."
76,"진짜 드라마니까 술 먹고 자도, 아무렇지 않게 로맨스로 넘어가는거지 실제 현실에서
저러면 진짜 큰일납니다"
77,미쳤어 ㅠㅠㅠ개살레 ㅠㅠㅠㅠㅠㅠㅠ대사 하나하나 미치겠네 ㅋㅋㅋ
78,박모건~작가님께서 여성들의 온갖 사심과 로망을 담아 만든 캐릭터잖아~소장하고프네~
79,"코 찡끗 이건 반칙이지...
넘 멋있잖아요..."
80,내가 그날 잘했니? 진짜 역대급이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
81,"아 장기용 대사도 대사지만 목소리가 너무좋음..명대사는 또 왜이렇게 많담??ㅋㅋㅋ미성년자는 아니야,키스받은남자죠,귀여우면가져야지..후..작가님 우리 죽으라고 작정하고 쓰심..감사합니다.."
82,장기용으로 설렘받으러왓다 주기적으로봐야해 장기용...
83,"이제 정주행중이랍니다ㅠㅠ
장기용 넘멋지다고ㅠ"
84,댓글들이 죄다 목소리목소리 한뜻으로 말하길래 뭐 얼마나 좋겠어 했는데 시발 기절할뻔;;;하.....와꾸와 목소리합이 아주그냥 풍악을 울리는구나~~~~~....
85,키스받은남자죠 할때 표정넘이뻐ㅠ 귀여우면 가져야지 할때 개치여ㅜㅜㅜ
86,장기용 목소리 넘 좋아!!!!!!
87,개녹는다. 드라마 안보는데 이 영상보고 그냥 한방에 넘어갔다..... 하....내안의 연애세포가 회생됨
88,드라마 끝난지가 언젠데 나는 이러고 있냐 박모건 못잃어 ㅜㅜ
89,임수정 너무 사랑스럽다...
90,검블유 왜 넷플릭스에 안올라와있냐아아아아!!!!!!!!
91,진짜 말문막히도록 존나까부는데 밉지않다
92,와 쌉정주행각이다 진짜..ㅋㅋㅋㅋㅋ 어우 설레ㅠㅠ
93,내 심장 녹는다..
94,헐 이 드라마 진짜 제목만 대충 알고 하나도 안 봤는데...임수정 장기용 알콩달콩하는 영상만 몇개째 보는겨.....
95,와 그렇게 능글맞게굴면서 임수정이 기대니까 당황+좋아하는 표정봐 ㄹㅇ......ㅠㅠ 발려버린다 기용씨 날 가지세요
96,"미성년자는 아냐 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋ
누나들 당황하는 소리 여기까지 들리냨ㅋㅋㅋㅋㅋ"
97,키스받은 남자죠 이거 진짜 다른사람이었으면 너무느끼했다고.. 장기용 연기 잘하든 말든 그냥 박모건 그자체임 ㅠ
98,"연하남의 정석!!!
최고의 연하남!!! ^^"
99,와 진짜 장기용 목소리가 개에바네....
100,임수정 취했을 때 카메라 앵글 순간 스을쩍 돌아가는거 나도 뭔가 취한거같고 마음이 울렁 이상함 카메라무빙? 새로운데 진짜 볼때마다 잘잡았다 생각듬
101,진짜 설렌다 이런연애하고싶다
102,검블유 친구가 보라고 그렇게 난리를 쳐도 안 봤었는데 와 저 당장 보러갑니다ㅜ 나는 대체... 왜 이제서야..
103,남자인데 장기용씨 진짜 멋있네 하..
104,기용형 미치겠다 진짜 사랑해
105,12살 차인데 너무 설레ㅋㅋㅋㅋㅋ
106,장기용 목소리 엄청 좋은편이구나 얼굴이 잘생겨서 몰랐네..
107,장기용 나오는 드라마 거의 봤는데 볼때 마다 미치겠다ㅜㅜ 노오무 쪼아
108,현실에선 이런 멋진 남자 없습니다.ㅠㅠ
109,"모거니 젊어 보이네
통통하고 느낑도 다르고,. 목소리 개구진
표정
퐁당 빠졌다"
110,"간 떨어지는 동거에서 어르신 역 기대돼요!!!!!!! 연하남의 정석에서 어떻게 연기하게 될지.,,.,."
111,진심ㅋㅋㅋ실제로도 10살차이 나는데 대박잘어울린다고
112,장기용 좋아서 내 심장이 입으로 나왔다가 다시 삼키니 좌심방 우심실에서 펄떨펄떡 뛰다가 아직도 쿵쾅되서 검블유 세번씩 돌려봤다
113,듬직한 연하남에ㅜ 멘트랑 목소리 진짜 ㅜㅜ
114,어머 나 왜웃고있지
115,왜 내입이 웃고있는거지.....?
116,역시 모건이는 모건이다
117,귀여우면 가져야지 이부분 이구도 막화랑 똑같네 ㅠ 코찡긋까지.. 진짜 이드라마 어디까지 완벽한데 ㅠ
118,ㅅㅂ 겁나 심장바운스한다ㅋㅋ
119,아 임수정 진짜 개설렌다 미쳐따
120,Season 2 please
121,"남자가 끼부리는게 저런거구나 ㅁㅊ.
메...모...."
122,이 세상에 저런 연하는 없어ㅠㅠㅠㅠㅠㅠ
123,3:15 이 드라마 정주행할게요 덕분에 즐겁겠네요.  귀여우면 가져야짘ㅋ 꼭봐야지
124,2.7m views ?!?! In one year ?!?!
125,"Tan bello el , me encanto su respingo de nariz"
126,"남주혁보다 장기용이 연기 훨 잘하네.
목소리 개좋다 ㅅㅂ"
